Awards List,,,,
Search Criteria: Fiscal Year From: 2022-2023 | Fiscal Year To: 2022-2023 | Institution & Province: University of British Columbia | By Institutions: All,,,,
"Total No Of Results: 1,583",,,,
Name,Project Title,Amount($),Fiscal Year,Program
"CalistratePetre, PaulP",Image-based measurements of respiratory function,"6,000",2022-2023,University Undergraduate Student Research Awards
"Campbell, ChristianCP",Eigenvectors of structured tensors,"6,000",2022-2023,University Undergraduate Student Research Awards
"Campbell, Trevor",Bayesian Modeling and Scalable Inference for Big Data Streams,"39,000",2022-2023,Discovery Grants Program - Individual
"Campos, AlbertoAA","Rewilding Tropical Dry Forests: Defaunation, Seed dispersal and Restoring Ecological Interactions in the Brazilian Caatinga Biome.","100,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Cao, Yankai",Learning Complex Control Laws for Nonlinear Systems Under Uncertainty Using Deep Neural Networks,"28,000",2022-2023,Discovery Grants Program - Individual
"Carpenter, Mark",Central and peripheral mechanisms controlling human postural control,"65,000",2022-2023,Discovery Grants Program - Individual
"Carrillo, Juli",Ecological and evolutionary constraints of plant tolerance to herbivory,"103,000",2022-2023,Discovery Grants Program - Individual
"Carrillo, JuliJA","A partnership to address key economic and ecological concerns in BC Berries: Pest management, pollination services, and alternative cropping systems","500,000",2022-2023,Alliance Grants
"Carruthers, Thomas",Advancing the Management of Global Data-Limited Fisheries,"28,000",2022-2023,Discovery Grants Program - Individual
"CarvalloAceves, MauricioM",Evaluating coastal vegetation in urban adaptation to sea level rise and flooding.,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Castellarin, Simone",Viticulture,"100,000",2022-2023,Canada Research Chairs
"Castellarin, Simone",Metabolic responses of the grape (Vitis vinifera L.) berry to environmental stimuli,"55,000",2022-2023,Discovery Grants Program - Individual
"Cautis, Sabin",Algebraic geometry,"100,000",2022-2023,Canada Research Chairs
"Cautis, Sabin",Representation theoretic methods in geometry and mathematical physics,"26,000",2022-2023,Discovery Grants Program - Individual
"Cembrowski, Mark",Subtype-specific rules of memory encoding and retrieval in dentate gyrus granule cells,"37,000",2022-2023,Discovery Grants Program - Individual
"Chaaban, Anas",Design of Efficient Indoor Visible Light Communication Systems: From Theoretical Foundations to Practical Solutions,"33,000",2022-2023,Discovery Grants Program - Individual
"Chae, HyunKuHK",Host cell substrates of RNA insect virus proteases,"6,000",2022-2023,University Undergraduate Student Research Awards
"Chalmers, PaulinaPCC",Biology of urban streams,"6,000",2022-2023,University Undergraduate Student Research Awards
"Chan, AbrahamAD",Reducing the energy footprint of software programs through approximation injection,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Chan, Kai",Re-Wilding and Social-Ecological Transformation,"200,000",2022-2023,Canada Research Chairs
"Chan, Kai",Towards Net Positive Impacts on Biodiversity and Ecosystem Services,"47,000",2022-2023,Discovery Grants Program - Individual
"Chang, FabianF",Exploring the Mechanisms and Regulation of Host-macrophage Autophagy by Leishmania,"6,000",2022-2023,University Undergraduate Student Research Awards
"Chang, PortiaPI",Diving into Device Drivers,"6,000",2022-2023,University Undergraduate Student Research Awards
"Chang, Thomas",Regulation of Nuclear Receptor Expression and Function,"47,000",2022-2023,Discovery Grants Program - Individual
"Chanway, Christopher",Potential role of the gymnosperm microbiome in a changing climate,"28,000",2022-2023,Discovery Grants Program - Individual
"ChatwinDavies, AidanAE",Quantum Gravity and Quantum Information in Cosmology: Holographic Entropy in the Late Universe and Planckian Signatures in the Early Universe,"22,500",2022-2023,Postdoctoral Fellowships
"Chau, Kenneth",Multi-scale computational nanophotonics,"28,000",2022-2023,Discovery Grants Program - Individual
"Chawla, SahajS",Evolution of hybrid incompatibilities,"6,000",2022-2023,University Undergraduate Student Research Awards
"Chegounian, ParisaPC",Biodegradation of Naphthenic Acids Contamination in Oil Sands Process-affected Water Using Engineered Strain,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Chen, David",Enabling technologies for high performance mass spectrometry applications,"48,000",2022-2023,Discovery Grants Program - Individual
"Chen, Jiahua",Theory and Applications of the empirical likelihood and finite mixture model,"36,000",2022-2023,Discovery Grants Program - Individual
"Chen, JoshuaJM",Molecular barcoding of mosquitoes and their meals,"6,000",2022-2023,University Undergraduate Student Research Awards
"Chen, KerenKC",Xylan biosynthesis in plant cells,"6,000",2022-2023,University Undergraduate Student Research Awards
"Chen, WilliamSzuWeiWS",Optimizing biological ion exchange regeneration and backwash for improved natural organic matter removal,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Chen, Yu(Christine)","Data-centric Real-time Power System Modelling, Monitoring, and Control","31,000",2022-2023,Discovery Grants Program - Individual
"Chen, YuChristineYC",Blockchain-enabled decentralized and hierarchical framework for peer-to-peer electric energy markets,"20,000",2022-2023,Alliance Grants
"Cheng, LisaLKY",Application of physiologically-based pharmacokinetic (PBPK) models to assess food effects on oral absorption and evaluate metabolic consequences of cytochrome P450 induction,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Cheung, Karen",Microfluidics and inkjet for biomedical engineering materials,"46,000",2022-2023,Discovery Grants Program - Individual
"Cheung, KarenKC","A Single Cell Isolating System for Genomics Applications, Phase 1 I2I","60,000",2022-2023,Idea to Innovation
"Cheung, William",Ocean Sustainability and Global Change,"120,000",2022-2023,Canada Research Chairs
"Cheung, William",Boosting adaptation of marine ecosystems to meet climate change challenges,"94,000",2022-2023,Discovery Grants Program - Individual
"Chiao, Mu",Development of a lab-on-a-chip platform device for multimodal stimulation of cells,"74,000",2022-2023,Discovery Grants Program - Individual
"Chick, KyleKC",Process Control for 3D Printing of Metallic Components,"6,000",2022-2023,University Undergraduate Student Research Awards
"Chisholm, JennaJL",Comparison of Reconstruction Methods for Top-Antitop Pair Production at ATLAS,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Chong, MaggieMKY",The recovery of nickel and cobalt from laterite ores using carbon negative processing,"6,000",2022-2023,University Undergraduate Student Research Awards
"Chopra, SanchitS",Improving the Precision and Selectivity of CRISPR Base Editing,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Choptuik, Matthew",Problems in numerical relativity,"50,000",2022-2023,Discovery Grants Program - Individual
"Chou, KengChang",Nonlinear optical spectroscopy and super-resolution microscopy,"36,000",2022-2023,Discovery Grants Program - Individual
"Chou, KengChangKC",Rapid determination of bitumen content in oil sands using LiDAR,"34,192",2022-2023,Alliance Grants
"Choudhary, PradumnP",Highly multiplexed readouts of hypothalamic response to leptin,"6,000",2022-2023,University Undergraduate Student Research Awards
"Christensen, Villy",Evaluating future scenarios for the global ocean,"33,000",2022-2023,Discovery Grants Program - Individual
"Christoff, Kalina",Dynamic brain network interactions underlying human thought and spontaneous cognition,"110,000",2022-2023,Discovery Grants Program - Individual
"Chritz, Kendra",Novel geochemical methods for assessing trophic ecology in modern and ancient ecosystems,"28,000",2022-2023,Discovery Grants Program - Individual
"Chrostowski, Lukas",Silicon Photonics for Quantum Computing,"76,000",2022-2023,Discovery Grants Program - Individual
"Chrostowski, LukasL",Scalable Neuromorphic Photonic Circuits,"180,000",2022-2023,Collaborative Research and Development Grants
"Chrostowski, LukasL",NSERC CREATE in Quantum Computing,"304,593",2022-2023,Collaborative Research and Training Experience
"Chua, Romeo",Sensory and Perceptual Contributions to the Preparation and Execution of Goal-Directed Action,"40,000",2022-2023,Discovery Grants Program - Individual
"Ciarniello, DeanDC",Computer Simulations for the DarkLight Expt at TRIUMF,"6,000",2022-2023,University Undergraduate Student Research Awards
"Ciernia, Annie",Epigenomic Regulation in Microglia,"30,000",2022-2023,Discovery Grants Program - Individual
"Ciocca, FrancescaF",How does unique coupling of two skeletal muscles in the avian wing affect motion control?,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"ClementRanney, MakennaLeighML",Establishing a model to study human liver development,"6,000",2022-2023,University Undergraduate Student Research Awards
"Clifford, Amanda",Development of Redox-Active Nanocomposite Hydrogels for Continuous and Wearable Health Monitoring,"12,500",2022-2023,Discovery Launch Supplement
"Clifford, Amanda",Development of Redox-Active Nanocomposite Hydrogels for Continuous and Wearable Health Monitoring,"33,000",2022-2023,Discovery Grants Program - Individual
"Cline, DaemonDL",Investigating the role of liver and adipose tissue lipid metabolism in leptin-mediated improvements to hyperglycemia in insulin depleted mice,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Clune, Jeffrey",AI-Generating Algorithms: AI that improves itself by automatically creating learning challenges,"41,000",2022-2023,Discovery Grants Program - Individual
"Cocquyt, ChantelleCM",Effects of post-encoding emotion on memory and valence assessment,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"CohenFreue, Gabriela",Selection and Integration of -Omics Data for Biomarkers Discovery,"36,000",2022-2023,Discovery Grants Program - Individual
"Coil, JordanAJWC",Uncovering implicit meaning in texts,"6,000",2022-2023,University Undergraduate Student Research Awards
"Colbow, StefanSK",Stefan Colbow - NSERC Master's Program Scholarship Application,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Collier, Christopher",Biomedical Terahertz Systems,"24,000",2022-2023,Discovery Grants Program - Individual
"Collier, ChristopherCM",Dairy microfluidic devices for detection of antibiotics,"100,000",2022-2023,Alliance Grants
"Conati, Cristina",Toward Personalized Explainable AI,"48,000",2022-2023,Discovery Grants Program - Individual
"Conati, CristinaC",AI-Driven personalized support to foster computational thinking skills in early K12 education,"114,667",2022-2023,Alliance Grants
"Condon, Anne",Models and Algorithms for Molecular Programming,"48,000",2022-2023,Discovery Grants Program - Individual
"Conibear, Elizabeth",The Role and Regulation of Endosomal GTP Exchange Factors,"48,000",2022-2023,Discovery Grants Program - Individual
"Cooke, EmmaEC",Assessing mortality of Pacific salmon in a catch-and-release marine recreational fishery,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Cooke, Ilsa",Tracing the evolution of aromatic molecules from interstellar space to planetary systems,"12,500",2022-2023,Discovery Launch Supplement
"Cooke, Ilsa",Tracing the evolution of aromatic molecules from interstellar space to planetary systems,"25,000",2022-2023,Discovery Grants Program - Individual
"Cooke, Ilsa",A vacuum-ultraviolet source for the study of interstellar and prebiotic molecules,"141,377",2022-2023,Research Tools and Instruments
"Cool, Julie",Developing a continuous quality control method for the sawmilling process using sensory features and advanced data mining approaches,"26,000",2022-2023,Discovery Grants Program - Individual
"Coombs, Daniel","Super-resolution imaging, single cell analysis, and modelling approaches applied to the study of immune cell signaling and behaviour","69,000",2022-2023,Discovery Grants Program - Individual
"Coops, Nicholas",Remote Sensing of Forest Carbon Accumulation,"188,000",2022-2023,Discovery Grants Program - Individual
"Coops, Nicholas",Remote Sensing,"200,000",2022-2023,Canada Research Chairs
"Coops, NicholasC",Estimating Forest Forest Structure to inform Predictive Ecosystem Mapping (PEM) Approaches across British Columbia,"20,000",2022-2023,Alliance Grants
"Copeland, PaigePV",Investigating the effects of acute cannabis use on the sensorimotor control of standing balance.,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Corbett, JamieJS",Engineering alkylguaiacol-degrading cytochromes P450 for the biocatalytic valorization of lignin,"6,000",2022-2023,University Undergraduate Student Research Awards
"Cornelis, JeanThomas",Elucidating how nutrient-limiting soil conditions drive plant-induced weathering processes under a changing climate,"51,000",2022-2023,Discovery Grants Program - Individual
"Cragg, JacquelynJ",Fostering Science: a mentoring program to empower youth in care in British Columbia,"76,300",2022-2023,PromoScience
