"Project Number","Project title","Fund Type",Fund,"Team Leader(s)","Team Member(s)",Province,Municipality,"Institution type","Lead Institution","Collaborating Institutions","Field of research",Keywords,"Funding decision year","Decision date","CFI Contribution"
2406,"The iCAPTURE Centre:  Imaging, Cell Analysis and Phenotyping Toward Understanding [Reparative, Responsive, Remodeling, Recombinant] Events","Innovation Fund","Innovation Fund (1999-2005)","Bruce McManus","Michael Allard, Michael Hayden, James Hogg, Ismail Laher, John Mayo, Bruce McManus, Nestor Muller, Peter Pare, Cornelis van Breemen, Keith Walley","British Columbia",Vancouver,University,"The University of British Columbia","Vancouver Coastal Health Authority, Providence Health Care Society","Health services and systems","Imaging, Cell Analysis, Phenotyping, Heart Disease, Lung Disease, Tissue Registries, Ultrastructure",2000,24-Jul-00,$6497000
2484,"UBC Centre for Isotopic and Geochemical Research","Innovation Fund","Innovation Fund (1999-2005)","James Mortensen","Stephen Calvert, Gregory Dipple, Dan Marshall, James Mortensen, Peter Mustard, Kristin Orians, Thomas Pedersen, Jeremy Richards, Stephen Rowins, Richard Tosdal","British Columbia",Vancouver,University,"The University of British Columbia",,"Earth and related environmental sciences","mass spectrometer, geochronology, ICP-MS, mineral deposits, environmental geochemistry, global change",2000,24-Jul-00,$1053800
2864,"UBC Network Project: Infrastructure and equipment to provide ubiquitous high-bandwidth research networking across UBC plus high-speed communications links to off-campus medical research facilities.","Innovation Fund","Innovation Fund (1999-2005)","Ted Dodds","Kellogg Booth, Matthew Choptuik, Max Cynader, Ted Dodds, B. Brett Finlay, Alex MacKay, Francis Ouellette, Rabab Ward","British Columbia",Vancouver,University,"The University of British Columbia",,"Computer and information sciences","networks, networking, connectivity, telecommunications, multidisciplinary",2000,24-Jul-00,$3139062
200373,"Affrymetrix GeneChip Instrument System:  Whole Genome Expression Analysis, SNP Genotyping, and Disease Management","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Elizabeth Simpson","Elizabeth Simpson","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"Genetics, Mental Illness, Violent Behavioural Disorders, Abnormal Brain Development, Mouse Models",2001,19-Jun-01,$100000
5748,"Animal MRI facility for The Prostate Centre at Vancouver General Hospital","John R. Evans Leaders Fund","On-going New Opportunities Fund","Piotr Kozlowski","Piotr Kozlowski","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","Magnetic Resonance Imaging, Magnetic Resonance Spectroscopy, animals, cancer, prostate cancer, in-vivo",2001,25-Sep-01,$125000
4205,"BETA-Lab Computational Infrastructure - A Computing Environment for Bioinformatics and Algorithms Research","John R. Evans Leaders Fund","On-going New Opportunities Fund","Holger Hoos","Anne Condon, William Evans, Holger Hoos","British Columbia",Vancouver,University,"The University of British Columbia",,"Computer and information sciences","algorithms, bioinformatics, biocomputing, combinatorial optimization, stochastic search, computational geometry,",2001,7-Mar-01,$101000
5842,"Cellular and Molecular Analysis and Imaging Facility in the Prostate Centre at Vancouver General Hospital","John R. Evans Leaders Fund","On-going New Opportunities Fund","Michael Cox","Michael Cox","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","Fluorescence Microscopy, Quantitative Imaging, Single Cell Analysis, Subcellular Molecular Distribution, Histopathology, Prostate Cancer, Therapeutic Target Identification",2001,25-Sep-01,$124940
5145,"Cellular Neurophysiology Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","Brian Christie","Brian Christie","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology and cognitive sciences","Neurogenesis, Synaptic Plasticity, Learning and Memory, Immunohistochemistry, Whole-cell Patch-clamping, electrophysiology, neuronal modeling, Aging, Hippocampus, stress",2001,25-Sep-01,$140404
200034,"Computational, peripheral and communication equipment for collaborative development and dissemination intergrated assessment models of global change","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Hadi Dowlatabadi","Hadi Dowlatabadi","British Columbia",Vancouver,University,"The University of British Columbia",,"Applied mathematics","Integrated Assessments environmental change, policy analysis, human health and Development, applied science",2001,19-Jun-01,$97263
200349,"Degradomics:  Discovery of Novel Proteinase Substrates in the Proteome","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Christopher Overall","Christopher Overall","British Columbia",Vancouver,University,"The University of British Columbia",,"Dentistry and oral health","Proteinases, Matrix Metalloproteinases, Proteomics, Biochemistry, Immunology",2001,22-May-01,$125000
201062,"Environmental Atmospheric Chemistry Laboratory","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Allan Bertram","Allan Bertram","British Columbia",Vancouver,University,"The University of British Columbia",,"Physical chemistry (including structural)","Atmospheric chemistry, heterogeneous chemistry, aerosols, climate, air pollution.",2001,29-Oct-01,$197913
200167,"Equipment for Clean Energy and Fluidization Research","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","John Grace","John Grace","British Columbia",Vancouver,University,"The University of British Columbia",,"Chemical engineering","Fluidization, Reactors, Energy, Multiphase flow, Particles, Modelling, Heat transfer, Combustion, Hydrogen, Air pollution",2001,22-May-01,$80000
200348,"Equipment in support of transgenic research using the CMMT Transgenic facility","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Michael Hayden","Michael Hayden","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"Genetics, Molecualr Medicine, Atherosclerosis, Genes, Huntington Disease",2001,13-Nov-01,$100000
200381,"Experimental study of ecology, genetics, and the origin of species","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Dolph Schluter","Dolph Schluter","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","Ecology, genetics, and the origin of species",2001,22-May-01,$140000
200218,"Facility for advanced fluorescence-based technologies","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Fabio Rossi","Fabio Rossi","British Columbia",Vancouver,University,"The University of British Columbia",,"Cardiorespiratory medicine and hematology","Tet-operon, temporal gene induction, signalling, inducible transgene, protein-protein transduction",2001,25-Sep-01,$133008
4175,"Facility for Predictive Medicine and Therapeutics Research (FPMTR)","John R. Evans Leaders Fund","On-going New Opportunities Fund","Youwen Zhou","Youwen Zhou","British Columbia",Vancouver,University,"The University of British Columbia",,"Clinical sciences","Gene expression profiling, Diagnosis, Genomic classification of autoimmune diseases, Predicting therapeutic response, cancer",2001,7-Mar-01,$146440
200346,"Facility for the Development, Validation and Evaluation of Multi-Modal Simulators and User Interfaces","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Septimiu Salcudean","Septimiu Salcudean","British Columbia",Vancouver,University,"The University of British Columbia",,"Electrical engineering, computer engineering, and information engineering","Intelligent computer interface, haptic interfaces.",2001,22-May-01,$99938
200164,"Functional Pathogenomics Laboratory","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Robert HANCOCK","Robert HANCOCK","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","Genomics, Antimicrobial peptides, Innate Immunity, Bacteria, Outer membrane proteins",2001,22-May-01,$121824
200231,"Genetic Susceptibility to Inflammatory Airway Diseases","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Andrew Sandford","Andrew Sandford","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"Genetics, asthma, COPD, ARDS, susceptibility",2001,25-Sep-01,$106456
200228,"High Resolution and Time-Resolved Electronic Spectroscopy of Metal-Building Proteins","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Grant Mauk","Grant Mauk","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"Metal ion homeostasis, plasma proteins, metalloproteins, bionorganic chemistry, blood",2001,25-Sep-01,$118845
4182,"High-throughput Infrastructure for Studying Plant Disease Resistance","John R. Evans Leaders Fund","On-going New Opportunities Fund","Xin Li","Xin Li","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","Plant Biotechnology, Molecular Plant-Microbe Interaction, Plant Defense,  Functional Genomics, Proteomics, Molecular Genetics, Signal Transduction,  Biochemistry, Chromatography, Protein Purification",2001,7-Mar-01,$195524
200165,"Human infancy and population health: Identification of the steps in normal language acquisition and detection of those children in need of early intervention","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Janet Werker","Janet Werker","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology and cognitive sciences","Human Development, Infancy, Health, Language, Culture",2001,6-Apr-01,$180000
200242,"Infrastructure and Laboratory Facilities for Transdisciplinary and Global Health Promotion Research, and Research on Evidence-Uptake in Healthcare Workplace Decision-Making","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Annalee Yassi","Annalee Yassi","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","Transdisciplinary health promotion, ecosystem health",2001,25-Sep-01,$186634
4950,"Infrastructure for Integrated Advanced Oxidation and Biological Treatment of Environmental Contaminants","John R. Evans Leaders Fund","On-going New Opportunities Fund","Madjid Mohseni","Madjid Mohseni","British Columbia",Vancouver,University,"The University of British Columbia",,"Chemical engineering","Advanced Oxidation, Bioprocess Engineering, Water Purification, Watewater Treatment, Air Pollution Control, UV Oxidation, Ozone, Hydrogen Peroxide, Photocatalysis",2001,25-Sep-01,$125802
4060,"Infrastructure for multidisciplinary bone health research in high-risk, elderly populations","John R. Evans Leaders Fund","On-going New Opportunities Fund","Karim Khan","Janice Eng, Karim Khan, Neil Longridge, Heather Mckay, Thomas Oxland","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","Smart Equitest System, balance rehabilitation, peripheral QCT (pQCT), dual-energy X-ray absorptiometry (DXA), bone strength, fall prevention, biomechanics, elderly, osteoporosis, bone geometry",2001,7-Mar-01,$163141
201054,"Instrumentation to study molecular correlates of brain development","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Max Cynader","Max Cynader","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","Development, Brain, Cortex",2001,29-Oct-01,$100000
4573,"Interdisciplinary Centre for Non-Newtonian and Complex Fluid Flow Phenomena","John R. Evans Leaders Fund","On-going New Opportunities Fund","Ian Frigaard","Ian Frigaard","British Columbia",Vancouver,University,"The University of British Columbia",,"Other mechanical engineering","fluid mechanics, mathematical modelling, numerical simulation, dynamics, visco-plastic fluids, computation, multi-phase, instabilities, transition, oilfield fluid flows",2001,7-Mar-01,$196320
